,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJJcVmoh-IoDEREXEUXrzGpbU,Quán Lẩu Vịt Nấu Chao Thành Giao,Nhà hàng,0939 933 949,"Quán Lẩu Vịt Nấu Chao Thành Giao, hẻm 1 Đ. Lý Tự Trọng, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",hẻm 1 Đ. Lý Tự Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1,ChIJASUZOTaIoDERDYvRJ_i-GAk,Lẩu Kim Chi 79k,Nhà hàng món lẩu,0917 681 246,"Lẩu Kim Chi 79k, Hẻm 132 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",Hẻm 132 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
4,ChIJ-zccZVEpdTER-jGIV7nyD_E,RAKUEN BBQ,Nhà hàng,0868 354 740,"RAKUEN BBQ, 84 Bàu Cát, Phường 14, Tân Bình, Thành phố Hồ Chí Minh 72112","Phường 14, Tân Bình",84 Bàu Cát,Thành phố Hồ Chí Minh,72112.0,"Tân Bình, Thành phố Hồ Chí Minh",VN
5,ChIJM9R41PIudTERemp3oPlMlsU,Quán Lẩu Đông Xuyên,Nhà hàng món lẩu,028 3856 6376,"Quán Lẩu Đông Xuyên, 407-409 Đ. Nguyễn Chí Thanh, Phường 15, Quận 5, Thành phố Hồ Chí Minh","Phường 15, Quận 5",407-409 Đ. Nguyễn Chí Thanh,Thành phố Hồ Chí Minh,,"Quận 5, Thành phố Hồ Chí Minh",VN
6,ChIJ_3lMQdAodTERNMFuONVSmWw,King BBQ,Nhà hàng món nướng Hàn Quốc,028 3517 0199,"King BBQ, 205 Phan Xích Long, Phường 2, Phú Nhuận, Thành phố Hồ Chí Minh","Phường 2, Phú Nhuận",205 Phan Xích Long,Thành phố Hồ Chí Minh,,"Phú Nhuận, Thành phố Hồ Chí Minh",VN
7,ChIJA4NJAjUvdTERTfGNCjVCVSI,Pachi Pachi Lẩu Nướng Nhật Bản,Nhà hàng Nhật Bản,028 6295 9294,"Pachi Pachi Lẩu Nướng Nhật Bản, 52 Đ. Mạc Đĩnh Chi, Đa Kao, Quận 1, Thành phố Hồ Chí Minh","Đa Kao, Quận 1",52 Đ. Mạc Đĩnh Chi,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN
16,ChIJUy7WXCOIoDERIJybkL0tzp8,Quán Oppa - Sushi & Nướng Lẩu,Nhà hàng món nướng Hàn Quốc,0292 3777 777,"Quán Oppa - Sushi & Nướng Lẩu, Đ. Mạc Thiên Tích, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",Đ. Mạc Thiên Tích,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
31,ChIJhY4Kre0pdTERK3qATef7xcc,GALBI HOUSE,Nhà hàng món nướng Hàn Quốc,028 3842 6779,"GALBI HOUSE, 4 Hoàng Hoa Thám, Phường 12, Tân Bình, Thành phố Hồ Chí Minh","Phường 12, Tân Bình",4 Hoàng Hoa Thám,Thành phố Hồ Chí Minh,,"Tân Bình, Thành phố Hồ Chí Minh",VN
33,ChIJkz01ne0rdTERIWfMGQT9lD0,nhà hàng quán nướng Yaki,Nhà hàng Nhật Bản,1900 888815,"nhà hàng quán nướng Yaki, 60 Đường CN1, Sơn Kỳ, Tân Phú, Thành phố Hồ Chí Minh 700000","Sơn Kỳ, Tân Phú",60 Đường CN1,Thành phố Hồ Chí Minh,700000.0,"Tân Phú, Thành phố Hồ Chí Minh",VN
35,ChIJ56rbv6CrNTERSh77Uj32DWY,Lẩu Nướng Cô Quỳnh - 20B Gầm Cầu,Quán ăn nhỏ,0349 626 666,"Lẩu Nướng Cô Quỳnh - 20B Gầm Cầu, 20 P. Gầm Cầu, Đồng Xuân, Hoàn Kiếm, Hà Nội 100000","Đồng Xuân, Hoàn Kiếm",20 P. Gầm Cầu,Hà Nội,100000.0,"Hoàn Kiếm, Hà Nội",VN
