,place_id,name,main_category,phone,address
0,ChIJcWJ70U6rNTERxFCKqdDKXrw,"Joily Coffee, Tea & Bakery",Quán cà phê,0703 666 668,"Joily Coffee, Tea & Bakery, A10 Ng. Đức Hạnh 3, Khu đô thị Nam Trung Yên, Cầu Giấy, Hà Nội 11312"
1,ChIJKbnmWQApdTERwsotmjhioIE,Du Miên Garden Cafe,Quán cà phê,028 3894 5555,"Du Miên Garden Cafe, 7 Đ. Phan Văn Trị, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh"
13,ChIJbUggYwcpdTERceZS9v1RSFY,Country Houses Coffee,Quán cà phê,0903 704 399,"Country Houses Coffee, 18 Đ. Phan Văn Trị, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh"
23,ChIJ32cXs5erNTERsqdVf0cP-mg,Xofa Café & Bistro,Quán cà phê,024 3717 1555,"Xofa Café & Bistro, 14 P. Tống Duy Tân, Hàng Bông, Hoàn Kiếm, Hà Nội"
25,ChIJiXZG2IqrNTERdSRq4nRh9U4,"Lofita - Chuỗi quán Trà & Cà Phê (Cafe) Ngon, View Đẹp Nhất Hà Nội",Quán cà phê,1800 6503,"Lofita - Chuỗi quán Trà & Cà Phê (Cafe) Ngon, View Đẹp Nhất Hà Nội, 225 P. Trần Quốc Hoàn, Dịch Vọng Hậu, Cầu Giấy, Hà Nội"
28,ChIJ-ccIKnwvdTERcwhsdEeX6cs,Cafe Cô Ba - Đồng Khởi,Quán cà phê,,"Cafe Cô Ba - Đồng Khởi, 4-6 Đ. Đồng Khởi, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000"
40,ChIJj1y29UYvdTERjGrWH9smE-U,Katinat Saigon Kafe,Quán cà phê,028 3825 6679,"Katinat Saigon Kafe, 91 Đ. Đồng Khởi, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000"
47,ChIJ5Q3WZaWrNTERYpWt95xQn2Q,THAIYEN CAFE - CAFEYEN - Quán Thánh,Quán cà phê,0989 750 180,"THAIYEN CAFE - CAFEYEN - Quán Thánh, 184 P. Quán Thánh, Quán Thánh, Ba Đình, Hà Nội"
49,ChIJpap4NZGrNTERU1baVzYXQZo,Cộng Cà Phê,Quán cà phê,0911 811 132,"Cộng Cà Phê, 68 P. Quán Sứ, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội"
51,ChIJE5-utYgXQjERgi6BGTJ5WEI,Wind Garden Coffee,Quán cà phê,0914 288 818,"Wind Garden Coffee, 72 Lê Mạnh Trinh, Phước Mỹ, Sơn Trà, Đà Nẵng 550000"
56,ChIJoSenAIQpdTEREL7_vv33scU,Phen’s Coffee,Quán cà phê,0396 439 014,"Phen’s Coffee, 142 Nguyễn Văn Công, Phường 3, Gò Vấp, Thành phố Hồ Chí Minh"
66,ChIJKyYzwU8ndTERA1zCwYeytGQ,Bonjour cafe the art,Quán cà phê,0387 384 548,"Bonjour cafe the art, 42 Đ. Thảo Điền, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 70000"
74,ChIJtdMTz6JjoDERuwhioFmU8GE,The Coffee House - Hòa Bình (Cần Thơ),Quán cà phê,028 7303 9079,"The Coffee House - Hòa Bình (Cần Thơ), 8 Đại lộ Hoà Bình, P, Ninh Kiều, Cần Thơ"
75,ChIJw7k36kYvdTERJ9L8Dd7o-0U,Cà phê Sài Gòn Ơi,Quán cà phê,0938 531 517,"Cà phê Sài Gòn Ơi, 42 Đ. Nguyễn Huệ, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh"
82,ChIJUWgrCqZioDERlNGHIYEhr60,Nhà Gỗ Cafe - Wood House Coffee Cần Thơ,Quán cà phê,0899 503 919,"Nhà Gỗ Cafe - Wood House Coffee Cần Thơ, 40 Đ. Phạm Ngọc Thạch, Cái Khế, Ninh Kiều, Cần Thơ 900000"
85,ChIJW8bVvUwvdTERMK3h6j6UBuk,Beanthere Cafe,Quán cà phê,0987 168 584,"Beanthere Cafe, 42 Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh 70000"
95,ChIJx_s4ZTiIoDERJhnCubUmeEM,Cà Phê Thời Gian,Quán cà phê,0901 062 020,"Cà Phê Thời Gian, 35 Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ"
98,ChIJy2NIVoarNTER1maj2Dt1S-Q,Căng-tin Caphe,Quán cà phê,0372 099 359,"Căng-tin Caphe, Đối diện số, 31 Ngh. 180/29 P. Kim Hoa, Phương Liên, Đống Đa, Hà Nội"
101,ChIJ18tvsaFioDERsEF9qhIjZj8,HIGHLANDS COFFEE - Sense City,Quán cà phê,0292 3827 129,"HIGHLANDS COFFEE - Sense City, 1 Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ"
102,ChIJ4yCUNwwmdTER8t4ojhQavrA,Quán cafe đẹp - AA Coffee,Quán cà phê,0902 900 816,"Quán cafe đẹp - AA Coffee, 102 Cao Đức Lân, Khu đô thị An Phú An Khánh, Quận 2, Thành phố Hồ Chí Minh"
113,ChIJT9IBetEpdTERv1WHWPOkMLo,Oromia Coffee & Lounge,Quán cà phê,0908 861 136,"Oromia Coffee & Lounge, 85 Phan Kế Bính, Đa Kao, Quận 1, Thành phố Hồ Chí Minh"
122,ChIJL6pXqX6rNTERcJ19UWhe1Bc,Bốt Cà Phê,Quán cà phê,0981 358 758,"Bốt Cà Phê, 18b Ng. 18 P. Võ Văn Dũng, Chợ Dừa, Đống Đa, Hà Nội"
123,ChIJgaIQ76xioDERj6ONtM0nc5A,Nesta Coffee,Quán cà phê,0292 3831 216,"Nesta Coffee, 9C Trần Phú, Cái Khế, Ninh Kiều, Cần Thơ"
124,ChIJUew2yEWJoDER25-sskI9C1w,CHILL COFFEE,Quán cà phê,0903 963 688,"CHILL COFFEE, 49 Đ. 3 Tháng 2, Xuân Khánh, Ninh Kiều, Cần Thơ"
125,ChIJy1VzIUmrNTERX26zMhtwSgQ,Lofita Cafe,Quán cà phê,1800 6503,"Lofita Cafe, 30A Trần Hưng Đạo, Phan Chu Trinh, Hoàn Kiếm, Hà Nội 11019"
126,ChIJ72s1_bFjoDERUgSKI9kxCYE,VADO Canteen - Nhà Hàng Nhỏ Vui Vẻ,Nhà hàng món lẩu,0799 637 739,"VADO Canteen - Nhà Hàng Nhỏ Vui Vẻ, 42 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ"
127,ChIJM19gduurNTERptHpW_ybbGo,T.Coffee 14 Ngô Quyền,Quán cà phê,0942 893 686,"T.Coffee 14 Ngô Quyền, 14 P. Ngô Quyền, Tràng Tiền, Hoàn Kiếm, Hà Nội 10000"
128,ChIJM15XtJCJoDERKrjTOAi9PEY,Hoa Yên An Bình,Quán cà phê,0919 462 904,"Hoa Yên An Bình, A3 khu dân cư 923, An Bình, Ninh Kiều, Cần Thơ 27000"
129,ChIJPSJDgCGIoDEROvrrCgGNMGA,CÀ PHÊ MILANO NGỌC THUÝ 1,Quán cà phê,0943 473 309,"CÀ PHÊ MILANO NGỌC THUÝ 1, 81 Đ. Nguyễn Việt Hồng, An Phú, Ninh Kiều, Cần Thơ 92000"
131,ChIJC5JFZCGIoDERs9-xioqsHxg,Coffee Fresh,Quán cà phê,0292 3735 245,"Coffee Fresh, Hẻm 15 Đ. Trần Văn Hoài, Xuân Khánh, Ninh Kiều, Cần Thơ 94000"
132,ChIJYWgKnI-rNTERBK7N4VUOAbk,Cafe Mai,Quán cà phê,0936 606 789,"Cafe Mai, 75 P. Trần Nhân Tông, Nguyễn Du, Hai Bà Trưng, Hà Nội"
133,ChIJa8eWrGyIoDERJJdb_cEoSp8,Cafe Sành Điệu 2,Quán cà phê,0932 964 157,"Cafe Sành Điệu 2, Đ. Nguyễn Tri Phương, Phường An Khánh, Ninh Kiều, Cần Thơ"
134,ChIJz1_Q5lljoDERugYFVbXbnq4,GÓC KAFÉ,Quán cà phê,0907 121 316,"GÓC KAFÉ, 127 Nguyễn Trãi, Tân An, Ninh Kiều, Cần Thơ 900000"
155,ChIJJ8InsOwpdTERKzAX9Kfc8Wc,Zeraffe Coffee,Quán cà phê,,"Zeraffe Coffee, 226/36 Đ. Lê Văn Sỹ, Phường 1, Tân Bình, Thành phố Hồ Chí Minh 700000"
165,ChIJ-4t8WfiJoDERQCjS2A_fu7w,Mộc Nhiên Coffee,Quán cà phê,0939 967 888,"2QM7+PVF Mộc Nhiên Coffee, Hẻm 51, Phường An Khánh, Ninh Kiều, Cần Thơ"
167,ChIJw3D-6A-JoDERbEgBFsjHz3w,Mộng Coffee,Quán cà phê,0907 695 073,"Mộng Coffee, 57A4 Đ. Hồ Bún Xáng, Xuân Khánh, Ninh Kiều, Cần Thơ"
169,ChIJ92g2xnSJoDERK_XtYtgT7L8,A Coffee and Flower Garden,Quán cà phê,0911 678 910,"A Coffee and Flower Garden, 132 Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ"
170,ChIJ7d7KYryrNTER7Qc5Rzc7XyQ,Maison d'été,Quán cà phê,0915 450 572,"2R6M+52F Maison d'été, Trung Tự, Đống Đa, Hà Nội"
171,ChIJFSU86Z2JoDERBJQbtmbsy6g,Prince Koi Coffee,Quán cà phê,0979 007 795,"Prince Koi Coffee, 467 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ 90000"
172,ChIJmUy_VS2tNTERH8ugHtNt83s,Anh Hai Sài Gòn Cà Phê,Quán cà phê,0348 399 598,"Anh Hai Sài Gòn Cà Phê, P107 K10B, Khu tập thể Bách Khoa, Hai Bà Trưng, Hà Nội"
174,ChIJvXKlkFmJoDERfnXqmoiucIY,MK Coffee and Tea,Quán cà phê,,"MK Coffee and Tea, 7a1 Đ bờ kè Hồ Bún Xáng, Phường An Khánh, Ninh Kiều, Cần Thơ"
175,ChIJb2bin4eJoDER8NSJU2fUwpM,Cà phê Phương Hân,Quán cà phê,,"Cà phê Phương Hân, 18 Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ"
176,ChIJRQ3U8YyrNTERlzVbZ5o_rNM,Big Ben Cafe,Quán cà phê,,"Big Ben Cafe, 30 P. Tuệ Tĩnh, Bùi Thị Xuân, Hai Bà Trưng, Hà Nội"
178,ChIJF4ZpWdyJoDERzRN84j08ma8,Cà phê Sữa Đá,Quán cà phê,0859 995 359,"Cà phê Sữa Đá, 79/21 Hùng Vương, An Cư, Ninh Kiều, Cần Thơ"
183,ChIJI2emurKJoDER5uyUUtCX2Mc,Cà phê Black Gold,Quán cà phê,0772 822 546,"Cà phê Black Gold, 299 Võ Văn Kiệt, An Thới, Ninh Kiều, Cần Thơ"
187,ChIJ-TMBQVGIoDERwSrR51a4ues,Cafe Milano Hồng Phát,Quán cà phê,0939 311 660,"Cafe Milano Hồng Phát, KDC Hồng Phát, Đ.Xuân Thủy, An Bình, Ninh Kiều, Cần Thơ"
188,ChIJvwKH-CGJoDERV0c_hMgygTw,CÀ PHÊ NHÀ PHẠM,Quán cà phê,0772 170 707,"CÀ PHÊ NHÀ PHẠM, 219 Đường số 3, khu CBGV, Ninh Kiều, Cần Thơ"
190,ChIJ95ZVm6VjoDERRs-ls71JwE0,T-COFFEE,Quán cà phê,0907 454 848,"T-COFFEE, 65 Mai Chí Thọ, Phú Thứ, Cái Răng, Cần Thơ 900000"
207,ChIJ6aQxBkCJoDER6HdlntNqEoA,Cafe & Sách Không Thời Gian,Quán cà phê,0706 862 168,"Cafe & Sách Không Thời Gian, 94 Đường số 3, KDC ĐHCT, Ninh Kiều, Cần Thơ 94117"
208,ChIJISvNKEdVNDERZtXVnZvqL3c,Quận Cà Phê,Quán cà phê,,"Quận Cà Phê, 12 Đường Phú Minh, Minh Khai, Bắc Từ Liêm, Hà Nội 10000"
211,ChIJxWSvk5CJoDER4Q-k02JGans,TRUNG NGUYÊN E COFFEE 24 VÕ VĂN KIỆT,Quán cà phê,0943 253 275,"TRUNG NGUYÊN E COFFEE 24 VÕ VĂN KIỆT, 24 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ"
214,ChIJAweY6-KJoDERoGU7T45AjJU,Mộc Lan Trà Quán,Quán cà phê,0903 122 383,"Mộc Lan Trà Quán, 54 tổ 7 , Đường Bờ Hồ Bún Xáng, Cần Thơ 900000"
216,ChIJDwDtoaFjoDERLommZQPHssA,Lê’s Path Coffee Cái Răng - Quán Cà Phê Đẹp Có Sân Vườn Máy Lạnh Và Điểm Tâm Sáng,Quán cà phê,0939 549 245,"Lê’s Path Coffee Cái Răng - Quán Cà Phê Đẹp Có Sân Vườn Máy Lạnh Và Điểm Tâm Sáng, 12 Mai Chí Thọ, KDC 586, Cái Răng, Cần Thơ 900000"
218,ChIJh_SqyOqJoDERFXK94Ewn7O4,HOYA Tea & Coffee Búng Xáng,Quán cà phê,0909 996 672,"HOYA Tea & Coffee Búng Xáng, Tổ 4 Khu Vực 3, Phường An Khánh, Ninh Kiều, Cần Thơ 900000"
219,ChIJe36kBhWJoDERgCzxVd9QEWg,Trạm Dừng Chân (Quán Trà - Sách),Quán cà phê,0939 889 945,"Trạm Dừng Chân (Quán Trà - Sách), 1A/15A Nguyễn Văn Trỗi, An Nghiệp, Ninh Kiều, Cần Thơ"
220,ChIJ37vstxSJoDERCIu2NXrRmOM,Hạt Specialty Coffee - Roastery,Quán cà phê,0362 164 429,"Hạt Specialty Coffee - Roastery, 67-69 Đường B25, Khu dân cư 91B, Ninh Kiều, Cần Thơ 90000"
221,ChIJ-6I1hZmJoDERXIaXaV4hgiI,Coffee & Food Tiếng Xưa - TTTM Cái Khế - Trần Phú,Quán cà phê,0866 719 799,"Coffee & Food Tiếng Xưa - TTTM Cái Khế - Trần Phú, Lô H Trần Phú, Thới Bình, Ninh Kiều, Cần Thơ 94000"
223,ChIJecnD4D2JoDERXpnttF_lD3c,Tojime cafe,Quán cà phê,0902 754 777,"Tojime cafe, 12A Đ. Lê Anh Xuân, An Cư, Ninh Kiều, Cần Thơ"
224,ChIJSZJDJgOIoDERraFeDjWz1ao,Tasa Coffee Hùng Vương,Quán cà phê,0932 838 588,"Tasa Coffee Hùng Vương, 55 Hùng Vương, An Hội, Ninh Kiều, Cần Thơ"
225,ChIJyf68tyBjoDERgOFKPFobSfY,Cafe Thềm Xưa,Quán cà phê,0931 022 424,"Cafe Thềm Xưa, 07 Đ. Phạm Ngọc Thạch, P, Ninh Kiều, Cần Thơ 90000"
227,ChIJs8lmXcOJoDERYDSbDYe1D9E,Lily cafe,Quán cà phê,0909 575 999,"Lily cafe, 171 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ"
228,ChIJWUJYJvSJoDERbGel3eYTEN4,Tiệm cà phê Nhà Có Khách,Quán cà phê,0363 618 128,"Tiệm cà phê Nhà Có Khách, 359/19b Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ"
231,ChIJnQdgZdmrNTERLv2nbqmvenM,Lang Thang Cà Phê - Đỗ Hành,Quán cà phê,0363 767 866,"Lang Thang Cà Phê - Đỗ Hành, 14 P. Đỗ Hành, Nguyễn Du, Hai Bà Trưng, Hà Nội"
232,ChIJ24MMnCFjoDERIZq8jNXWVqQ,Đất cà phê - takeaway & delivery,Quán cà phê,0348 782 788,"Đất cà phê - takeaway & delivery, 28 Xô Viết Nghệ Tĩnh, An Hội, Ninh Kiều, Cần Thơ 94000"
233,ChIJTaFpXd6JoDERk1j12Kc2h9w,Up Coffee & Bistro,Quán cà phê,0774 451 319,"Up Coffee & Bistro, 35 Hẻm 6 Mậu Thân, An Phú, Ninh Kiều, Cần Thơ"
