place_id,name,main_category,phone,website,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates,lat,lng,House_number,Street,Ward,District,City,progress
ChIJ_yOW_TMvdTERHnUzesy5uFM,Bida B?o Bình - B?o Bình Billiards Club,Câu la?c bô? bi da l?,0902 340 029,http://bidabaobinh.blogspot.com/,"35 Ph?m Ng?c Th?ch, Phu?ng 6, Qu?n 3, Thành ph? H? Chí Minh 700000","Phu?ng 6, Qu?n 3",35 Ph?m Ng?c Th?ch,Thành ph? H? Chí Minh,700000,"Qu?n 3, Thành ph? H? Chí Minh",VN,"10.7841957,106.6933469",10.7841957,106.6933469,39B,,Phu?ng Võ Th? Sáu,Qu?n 3,H? Chí Minh,TRUE
ChIJwcYeO48pdTER3GVLcl-Tdug,Right Now Billiards Club,Câu l?c b?,0941 837 979,https://www.facebook.com/profile.php%3Fid%3D100090658286343,"38-40 Hu?nh Khuong Ninh, Ða Kao, Qu?n 1, Thành ph? H? Chí Minh 71007","Ða Kao, Qu?n 1",38-40 Hu?nh Khuong Ninh,Thành ph? H? Chí Minh,71007,"Qu?n 1, Thành ph? H? Chí Minh",VN,"10.789911,106.69598409999999",10.789911,106.6959841,38-40,Ðu?ng Hu?nh Khuong Ninh,Phu?ng Ða Kao,Qu?n 1,H? Chí Minh,TRUE
ChIJwcYeO48pdTER3GVLcl-Tdug,Right Now Billiards Club,Câu l?c b?,0941 837 979,https://www.facebook.com/profile.php?id=100090658286343,"38-40 Hu?nh Khuong Ninh, Ða Kao, Qu?n 1, Thành ph? H? Chí Minh 71007","Ða Kao, Qu?n 1",38-40 Hu?nh Khuong Ninh,Thành ph? H? Chí Minh,71007,"Qu?n 1, Thành ph? H? Chí Minh",VN,"10.789911,106.69598409999999",10.789911,106.6959841,38-40,Ðu?ng Hu?nh Khuong Ninh,Phu?ng Ða Kao,Qu?n 1,H? Chí Minh,TRUE
ChIJ14Yc09kodTERmON9NMnNiM0,Câu L?c B? Bida LYP - Nguy?n Ki?m Phú Nhu?n,Câu la?c bô? bi da l?,0823 453 030,https://www.facebook.com/bidalyp,"436 Nguy?n Ki?m, Phu?ng 3, Phú Nhu?n, Thành ph? H? Chí Minh 700000","Phu?ng 3, Phú Nhu?n",436 Nguy?n Ki?m,Thành ph? H? Chí Minh,700000,"Phú Nhu?n, Thành ph? H? Chí Minh",VN,"10.801696999999999,106.679451",10.801697,106.679451,438,Ðu?ng Nguy?n Ki?m,Phu?ng 9,Qu?n Phú Nhu?n,H? Chí Minh,TRUE
ChIJfcun0MAodTERtPRegRtWVOg,CLB Bida TOP,Câu l?c b? th? thao,0834 707 777,https://bidatop.com/,"4A Ð. Phan Van Tr?, Phu?ng 14, Bình Th?nh, Thành ph? H? Chí Minh 700000","Phu?ng 14, Bình Th?nh",4A Ð. Phan Van Tr?,Thành ph? H? Chí Minh,700000,"Bình Th?nh, Thành ph? H? Chí Minh",VN,"10.806362799999999,106.69732789999999",10.8063628,106.6973279,5-Apr,Ðu?ng Phan Van Tr?,Phu?ng 14,Qu?n Bình Th?nh,H? Chí Minh,TRUE
ChIJMRJJZGMndTERaqKRr-4XYLw,Câu L?c B? Bida LYP - Phan Xích Long Phú Nhu?n,Câu la?c bô? bi da l?,0822 223 030,https://www.facebook.com/LYP-Billiards-Club-Bida-LYP-Phan-X%25C3%25ADch-Long-Ph%25C3%25BA-Nhu%25E1%25BA%25ADn-101541572621164,"476 Phan Xích Long, Phu?ng 3, Phú Nhu?n, Thành ph? H? Chí Minh 700000","Phu?ng 3, Phú Nhu?n",476 Phan Xích Long,Thành ph? H? Chí Minh,700000,"Phú Nhu?n, Thành ph? H? Chí Minh",VN,"10.8024027,106.6826775",10.8024027,106.6826775,476,Ðu?ng Phan Xích Long,Phu?ng 3,Qu?n Phú Nhu?n,H? Chí Minh,TRUE
ChIJMRJJZGMndTERaqKRr-4XYLw,Câu L?c B? Bida LYP - Phan Xích Long Phú Nhu?n,Câu la?c bô? bi da l?,0822 223 030,https://www.facebook.com/LYP-Billiards-Club-Bida-LYP-Phan-X%C3%ADch-Long-Ph%C3%BA-Nhu%E1%BA%ADn-101541572621164,"476 Phan Xích Long, Phu?ng 3, Phú Nhu?n, Thành ph? H? Chí Minh 700000","Phu?ng 3, Phú Nhu?n",476 Phan Xích Long,Thành ph? H? Chí Minh,700000,"Phú Nhu?n, Thành ph? H? Chí Minh",VN,"10.8024027,106.6826775",10.8024027,106.6826775,476,Ðu?ng Phan Xích Long,Phu?ng 3,Qu?n Phú Nhu?n,H? Chí Minh,TRUE
ChIJzbY9wOkpdTERr-mDCj1KbzY,H?a Billiards Club - CLB Bida H?a,Câu la?c bô? bi da l?,0937 272 194,https://www.facebook.com/HoaBilliards,"46 Ð. Nguy?n C?u Vân, Phu?ng 17, Bình Th?nh, Thành ph? H? Chí Minh 760000","Phu?ng 17, Bình Th?nh",46 Ð. Nguy?n C?u Vân,Thành ph? H? Chí Minh,760000,"Bình Th?nh, Thành ph? H? Chí Minh",VN,"10.795937799999999,106.706758",10.7959378,106.706758,46,Ðu?ng Nguy?n C?u Vân,Phu?ng 17,Qu?n Bình Th?nh,H? Chí Minh,TRUE
ChIJY1Tp038vdTERbhCeW8oeq_8,Bida Linh Cát,Câu l?c b? gi?i trí tu nhân,0918 803 333,https://bida-linh-cat.business.site/?utm_source=googlemybusiness&utm_medium=referral,"385E Ð. Nguy?n Trãi, Phu?ng Nguy?n Cu Trinh, Qu?n 1, Thành ph? H? Chí Minh","Phu?ng Nguy?n Cu Trinh, Qu?n 1",385E Ð. Nguy?n Trãi,Thành ph? H? Chí Minh,,"Qu?n 1, Thành ph? H? Chí Minh",VN,"10.7588954,106.68534539999999",10.7588954,106.6853454,,H?m 385 Nguy?n Trãi,Phu?ng Nguy?n Cu Trinh,Qu?n 1,H? Chí Minh,TRUE
ChIJY1Tp038vdTERbhCeW8oeq_8,Bida Linh Cát,Câu l?c b? gi?i trí tu nhân,0918 803 333,https://bida-linh-cat.business.site/%3Futm_source%3Dgooglemybusiness%26utm_medium%3Dreferral,"385E Ð. Nguy?n Trãi, Phu?ng Nguy?n Cu Trinh, Qu?n 1, Thành ph? H? Chí Minh","Phu?ng Nguy?n Cu Trinh, Qu?n 1",385E Ð. Nguy?n Trãi,Thành ph? H? Chí Minh,,"Qu?n 1, Thành ph? H? Chí Minh",VN,"10.7588954,106.68534539999999",10.7588954,106.6853454,,H?m 385 Nguy?n Trãi,Phu?ng Nguy?n Cu Trinh,Qu?n 1,H? Chí Minh,TRUE
ChIJ-UbeJjkpdTERnXRahtoPyh8,Bida Sài Gòn 39 | Bida Nguy?n Van Ð?u | Bida Bình Th?nh,Câu la?c bô? bi da l?,0879 566 639,https://www.facebook.com/bidasaigon39,"39a Nguy?n Van Ð?u, Phu?ng 6, Bình Th?nh, Thành ph? H? Chí Minh","Phu?ng 6, Bình Th?nh",39a Nguy?n Van Ð?u,Thành ph? H? Chí Minh,,"Bình Th?nh, Thành ph? H? Chí Minh",VN,"10.806523799999999,106.68696399999999",10.8065238,106.686964,39B,Ðu?ng Nguy?n Van Ð?u,Phu?ng 6,Qu?n Bình Th?nh,H? Chí Minh,TRUE
ChIJC5ds-TQpdTERtBfZYdMQEV8,CLB Bida Phúc An Khang,Câu la?c bô? bi da l?,0919 194 554,https://www.facebook.com/CLB-Bida-Ph%25C3%25BAc-An-Khang-104749219069938,"263 Bùi H?u Nghia, Phu?ng 1, Bình Th?nh, Thành ph? H? Chí Minh","Phu?ng 1, Bình Th?nh",263 Bùi H?u Nghia,Thành ph? H? Chí Minh,,"Bình Th?nh, Thành ph? H? Chí Minh",VN,"10.798343599999999,106.69898219999999",10.7983436,106.6989822,,Ðu?ng Bùi H?u Nghia,Phu?ng 1,Qu?n Bình Th?nh,H? Chí Minh,TRUE
ChIJC5ds-TQpdTERtBfZYdMQEV8,CLB Bida Phúc An Khang,Câu la?c bô? bi da l?,0919 194 554,https://www.facebook.com/CLB-Bida-Ph%C3%BAc-An-Khang-104749219069938,"263 Bùi H?u Nghia, Phu?ng 1, Bình Th?nh, Thành ph? H? Chí Minh","Phu?ng 1, Bình Th?nh",263 Bùi H?u Nghia,Thành ph? H? Chí Minh,,"Bình Th?nh, Thành ph? H? Chí Minh",VN,"10.798343599999999,106.69898219999999",10.7983436,106.6989822,,Ðu?ng Bùi H?u Nghia,Phu?ng 1,Qu?n Bình Th?nh,H? Chí Minh,TRUE
