place_id,name,main_category,phone,website,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates,lat,lng,House_number,Street,Ward,District,City,progress
ChIJ_yOW_TMvdTERHnUzesy5uFM,Bida Bảo Bình - Bảo Bình Billiards Club,Câu lạc bộ bi da lỗ,0902 340 029,http://bidabaobinh.blogspot.com/,"35 Phạm Ngọc Thạch, Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000","Phường 6, Quận 3",35 Phạm Ngọc Thạch,Thành phố Hồ Chí Minh,700000.0,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.7841957,106.6933469",10.7841957,106.6933469,39B,,Phường Võ Thị Sáu,Quận 3,Hồ Chí Minh,True
ChIJwcYeO48pdTER3GVLcl-Tdug,Right Now Billiards Club,Câu lạc bộ,0941 837 979,https://www.facebook.com/profile.php%3Fid%3D100090658286343,"38-40 Huỳnh Khương Ninh, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 71007","Đa Kao, Quận 1",38-40 Huỳnh Khương Ninh,Thành phố Hồ Chí Minh,71007.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.789911,106.69598409999999",10.789911,106.6959841,38-40,Đường Huỳnh Khương Ninh,Phường Đa Kao,Quận 1,Hồ Chí Minh,True
ChIJwcYeO48pdTER3GVLcl-Tdug,Right Now Billiards Club,Câu lạc bộ,0941 837 979,https://www.facebook.com/profile.php?id=100090658286343,"38-40 Huỳnh Khương Ninh, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 71007","Đa Kao, Quận 1",38-40 Huỳnh Khương Ninh,Thành phố Hồ Chí Minh,71007.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.789911,106.69598409999999",10.789911,106.6959841,38-40,Đường Huỳnh Khương Ninh,Phường Đa Kao,Quận 1,Hồ Chí Minh,True
ChIJ14Yc09kodTERmON9NMnNiM0,Câu Lạc Bộ Bida LYP - Nguyễn Kiệm Phú Nhuận,Câu lạc bộ bi da lỗ,0823 453 030,https://www.facebook.com/bidalyp,"436 Nguyễn Kiệm, Phường 3, Phú Nhuận, Thành phố Hồ Chí Minh 700000","Phường 3, Phú Nhuận",436 Nguyễn Kiệm,Thành phố Hồ Chí Minh,700000.0,"Phú Nhuận, Thành phố Hồ Chí Minh",VN,"10.801696999999999,106.679451",10.801697,106.679451,438,Đường Nguyễn Kiệm,Phường 9,Quận Phú Nhuận,Hồ Chí Minh,True
ChIJfcun0MAodTERtPRegRtWVOg,CLB Bida TOP,Câu lạc bộ thể thao,0834 707 777,https://bidatop.com/,"4A Đ. Phan Văn Trị, Phường 14, Bình Thạnh, Thành phố Hồ Chí Minh 700000","Phường 14, Bình Thạnh",4A Đ. Phan Văn Trị,Thành phố Hồ Chí Minh,700000.0,"Bình Thạnh, Thành phố Hồ Chí Minh",VN,"10.806362799999999,106.69732789999999",10.8063628,106.6973279,4-5,Đường Phan Văn Trị,Phường 14,Quận Bình Thạnh,Hồ Chí Minh,True
ChIJMRJJZGMndTERaqKRr-4XYLw,Câu Lạc Bộ Bida LYP - Phan Xích Long Phú Nhuận,Câu lạc bộ bi da lỗ,0822 223 030,https://www.facebook.com/LYP-Billiards-Club-Bida-LYP-Phan-X%25C3%25ADch-Long-Ph%25C3%25BA-Nhu%25E1%25BA%25ADn-101541572621164,"476 Phan Xích Long, Phường 3, Phú Nhuận, Thành phố Hồ Chí Minh 700000","Phường 3, Phú Nhuận",476 Phan Xích Long,Thành phố Hồ Chí Minh,700000.0,"Phú Nhuận, Thành phố Hồ Chí Minh",VN,"10.8024027,106.6826775",10.8024027,106.6826775,476,Đường Phan Xích Long,Phường 3,Quận Phú Nhuận,Hồ Chí Minh,True
ChIJMRJJZGMndTERaqKRr-4XYLw,Câu Lạc Bộ Bida LYP - Phan Xích Long Phú Nhuận,Câu lạc bộ bi da lỗ,0822 223 030,https://www.facebook.com/LYP-Billiards-Club-Bida-LYP-Phan-X%C3%ADch-Long-Ph%C3%BA-Nhu%E1%BA%ADn-101541572621164,"476 Phan Xích Long, Phường 3, Phú Nhuận, Thành phố Hồ Chí Minh 700000","Phường 3, Phú Nhuận",476 Phan Xích Long,Thành phố Hồ Chí Minh,700000.0,"Phú Nhuận, Thành phố Hồ Chí Minh",VN,"10.8024027,106.6826775",10.8024027,106.6826775,476,Đường Phan Xích Long,Phường 3,Quận Phú Nhuận,Hồ Chí Minh,True
ChIJzbY9wOkpdTERr-mDCj1KbzY,Hỏa Billiards Club - CLB Bida Hỏa,Câu lạc bộ bi da lỗ,0937 272 194,https://www.facebook.com/HoaBilliards,"46 Đ. Nguyễn Cửu Vân, Phường 17, Bình Thạnh, Thành phố Hồ Chí Minh 760000","Phường 17, Bình Thạnh",46 Đ. Nguyễn Cửu Vân,Thành phố Hồ Chí Minh,760000.0,"Bình Thạnh, Thành phố Hồ Chí Minh",VN,"10.795937799999999,106.706758",10.7959378,106.706758,46,Đường Nguyễn Cửu Vân,Phường 17,Quận Bình Thạnh,Hồ Chí Minh,True
ChIJY1Tp038vdTERbhCeW8oeq_8,Bida Linh Cát,Câu lạc bộ giải trí tư nhân,0918 803 333,https://bida-linh-cat.business.site/?utm_source=googlemybusiness&utm_medium=referral,"385E Đ. Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh","Phường Nguyễn Cư Trinh, Quận 1",385E Đ. Nguyễn Trãi,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7588954,106.68534539999999",10.7588954,106.6853454,,Hẻm 385 Nguyễn Trãi,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True
ChIJY1Tp038vdTERbhCeW8oeq_8,Bida Linh Cát,Câu lạc bộ giải trí tư nhân,0918 803 333,https://bida-linh-cat.business.site/%3Futm_source%3Dgooglemybusiness%26utm_medium%3Dreferral,"385E Đ. Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh","Phường Nguyễn Cư Trinh, Quận 1",385E Đ. Nguyễn Trãi,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7588954,106.68534539999999",10.7588954,106.6853454,,Hẻm 385 Nguyễn Trãi,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True
